danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,duration_ms,time_signature
0.373,0.902,4,-4.236,1,0.0525,4.84e-05,0,0.138,0.177,170.641,6v3ZkWfBtlNhBE7VwuOpxY,239200,4
0.616,0.727,1,-8.176,0,0.0365,0.00401,0.86,0.157,0.54,92.259,5FFowl1Ve4S5OehL6OywSg,173267,4
0.335,0.897,0,-3.613,1,0.0506,0.0651,0,0.121,0.391,122.066,72Y5nO5FCZtq0w7T5JGbys,219080,4
0.21,0.673,0,-7.982,0,0.043,0.323,0.878,0.154,0.104,75.831,4a4UrMYz1oLrdF1CzLcsGZ,180036,4
0.426,0.977,7,-1.922,1,0.126,0.00036,0,0.104,0.377,147.505,5fW07jQkSaonWs90rn6x5i,253560,4
0.235,0.905,11,-3.051,0,0.183,0.00455,0,0.339,0.463,80.099,62mpzf6JpgyUaOZC2NWFi6,338292,4
0.343,0.629,8,-7.939,1,0.0532,0.0244,0.908,0.11,0.226,95.835,28uTV1xcMTcIPTsKVbyhFV,305000,5
0.512,0.86,0,-6.145,1,0.0703,0.00631,0.00528,0.0652,0.258,117.909,51YZAJhOwIC5Gg3jMbAmhZ,309973,4
0.587,0.793,4,-7.802,0,0.119,0.00118,6.03e-05,0.0153,0.883,165.081,6pa63bus7BPu8g8rvJISSj,243520,4
0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,1d5UuboIPRMD4HaU3yycKC,213933,4
0.581,0.854,1,-8.485,0,0.0428,0.00197,0.0013,0.111,0.788,131.18,0K6yUnIKNsFtfIpTgGtcHm,259840,4
0.212,0.609,5,-10.152,0,0.0406,0.442,0.832,0.43,0.321,178.363,7CRPYNf9tVLXCx75TBGNSV,167240,4
0.163,0.927,9,-10.776,0,0.0396,0.0431,0.949,0.309,0.671,84.013,31151IsCwesiijMUVo6BJy,212973,4
0.207,0.961,7,-5.017,1,0.0801,9.94e-05,0.031,0.331,0.343,175.217,0F54dvs9C0v0snW9m6dSE1,175253,4
0.476,0.915,10,-4.204,1,0.0483,0.000464,6.36e-06,0.221,0.399,118.986,4bmqCyU3YCgc91Iizkrn1H,223587,4
0.26,0.961,11,-6.079,1,0.226,6.85e-05,0.0257,0.549,0.155,162.239,4zjAPCy5aUu5K2OwvyWcjj,306560,4
0.277,0.964,0,-4.387,1,0.112,0.000143,0.0428,0.0816,0.232,154.873,3C6ypQamFvL1KWKnsHMNvt,255733,4
0.629,0.874,2,-4.661,1,0.149,0.142,9.67e-06,0.179,0.662,141.946,2CP2xY3OA1adUgFW0lVwhw,303347,4
0.407,0.833,7,-10.752,1,0.0465,0.000349,0.551,0.273,0.217,95.999,1URVbLOaz5sS92FrQ2WMVX,268867,4
0.47,0.951,6,-5.496,0,0.0454,0.00429,0.00128,0.203,0.388,145.966,7BrR1hSh7CxGuoCv4Ep1Xn,379200,4
0.424,0.838,4,-4.586,0,0.038,0.00385,0.0151,0.364,0.242,144.031,6oCYjfJT3rLwFjlhaMOBDM,225173,4
0.225,0.826,10,-7.339,0,0.0549,0.00692,2.1e-05,0.169,0.471,95.996,6rGBb9zI2nFV36n8kdpUrC,310320,4
0.417,0.789,1,-6.447,0,0.0374,0.0229,0.956,0.111,0.225,140.004,1ukjeAD5u0riT9muPRzvrj,327998,4
0.208,0.881,3,-4.111,1,0.038,0.00146,0.000536,0.116,0.465,93.349,45x1BJkcJG2Lz2qxVjeUvX,182613,4
0.394,0.922,8,-2.512,1,0.0908,0.00844,0.000149,0.324,0.425,169.979,3UKANPBT62yO4J381vCe9R,343906,4
0.497,0.985,10,-4.89,0,0.0731,3.23e-06,0.469,0.0835,0.441,104.974,1sthkUmyqMdhygya1lDVAS,279440,4
0.446,0.918,2,-5.734,1,0.0606,0.00246,0.000354,0.353,0.641,170.011,3Yd2WbXs9RhfwKB7GMC534,211080,4
0.592,0.734,10,-12.388,1,0.035,0.0122,0.901,0.395,0.347,130.028,3eQijz4pPT7rb020LqdhdX,142154,4
0.404,0.917,7,-2.959,1,0.0939,8.08e-05,0,0.312,0.711,199.696,6Ay07oAl5uJ9iiAM9KDi9b,223213,5
0.559,0.905,2,-6.098,0,0.0452,2.33e-05,0.482,0.183,0.287,117.505,4oLMIzNiekdMl4eSJElkT9,224213,4
0.294,0.977,3,-3.453,0,0.156,0.00213,7.97e-06,0.175,0.395,195.812,6BRuzSuAFBsqhA9Tb7Rstx,199387,4
0.241,0.961,2,-3.476,0,0.0852,0.000103,0.00657,0.0994,0.195,97.015,3WRTADbL0criwvX6IQFex2,202440,4
0.27,0.931,1,-5.669,0,0.0972,0.000107,0.361,0.0476,0.41,87.358,6J1sxaRmlhqYMx9REYEyi0,217867,4
0.554,0.978,4,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,2uxL6E8Yq0Psc1V9uBtC4F,162600,4
0.532,0.922,6,-4.839,0,0.0756,0.000809,1.69e-06,0.148,0.676,114.423,6GNYj7SoBIf5WIdj5sHDf4,227267,4
0.48,0.985,7,-2.329,0,0.0814,8.68e-05,0.605,0.328,0.544,182.941,6VKP3Aru2I3OXMQX2yaMWX,199880,4
0.192,0.757,9,-5.253,1,0.0844,4.68e-05,0.00133,0.123,0.294,83.105,6hKnIY2Ssrmqw2TYXW0K5e,243467,5
0.43,0.952,6,-5.822,0,0.0721,9.3e-05,6.8e-06,0.193,0.191,108.023,2MvBpGOw4ZpitDSB6ys2Rr,307067,4
0.21,0.894,6,-4.595,1,0.0808,4.66e-05,0.00576,0.347,0.256,155.424,2JpvJGyaOpH1YPjBGZf1qr,213493,4
0.321,0.987,11,-5.009,1,0.197,8.48e-05,0.00623,0.316,0.207,130.674,2oeSHjGrjoxlTAOOEGeePI,234187,4
0.575,0.857,4,-3.961,1,0.155,0.0125,0.00229,0.145,0.623,117.413,1XTGyfJeMiZXrZ1W3NolcB,294507,4
0.256,0.929,7,-6.667,1,0.113,0.00311,0.201,0.11,0.278,113.47,0dqGfCMAGyDgpUAgLNOjWd,417227,4
0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,5GjPQ0eI7AgmOnADn1EO6Q,126533,4
0.341,0.658,6,-10.166,0,0.033,0.317,0.831,0.371,0.629,126.016,10OAoychwKbKKmizb7rOzf,350811,1
0.195,0.0111,7,-31.641,0,0.0337,0.845,0.000881,0.112,0.3,83.735,3AAwJ043uT1wXSKDtGyuxF,103025,1
0.474,0.713,2,-8.104,1,0.0316,0.0494,0.851,0.101,0.184,90.037,60sV2nPuOLbNjFoycSMmLe,237587,4
0.503,0.923,9,-5.526,0,0.0685,0.000471,6.21e-05,0.104,0.559,124.157,1rs7lqaXBlcw1N9wuHiQyJ,253333,4
0.68,0.828,2,-4.939,1,0.0743,0.012,0,0.133,0.551,120.982,6RYp0F2kV3yYmfn33bcQei,202613,4
0.232,0.931,9,-8.804,1,0.0808,0.00413,0.756,0.0927,0.0371,122.684,1nLF4GpaJe54kjjBVxIBRS,516267,4
0.555,0.727,6,-4.202,1,0.0388,0.0579,7.52e-06,0.0937,0.739,82.142,4JpazKcfOhbwqZrsYhzHee,223120,4
0.399,0.636,7,-7.007,1,0.0369,0.78,0.892,0.146,0.151,121.109,3bISPUFe5nbO9wTHH1fOEi,178422,4
0.696,0.942,9,-5.232,1,0.13,0.214,0.0049,0.0518,0.481,117.541,4SZhxF0sIS8nDvwhT0Tt2V,176307,4
0.419,0.985,1,-3.472,1,0.119,2.61e-05,0.134,0.295,0.0397,105.004,5GCLcrZENtwnkKChDMMHTi,243160,4
0.586,0.706,1,-7.258,0,0.0263,0.679,0,0.0832,0.584,131.009,6o2n4MmYMgddwVeYaxzsUh,257267,4
0.374,0.769,7,-5.615,0,0.0531,0.00864,0.0421,0.181,0.0396,135.591,7EExKNitXoRvmPwZy0hbPO,332092,4
0.382,0.642,2,-7.659,1,0.0395,0.76,0.00947,0.386,0.777,63.009,38dYh2pToiZPEKGVErVISk,156960,4
0.18,0.87,0,-6.432,1,0.091,1.23e-06,0.0718,0.507,0.361,178.925,1L3S5vFgsVzweUJnAIfSGM,158333,4
0.516,0.318,11,-14.061,1,0.0514,0.51,0,0.125,0.525,76.199,1blShRPwUlmJlmU6yxbifG,233707,4
0.362,0.742,5,-6.99,0,0.0321,4.44e-06,0.809,0.37,0.351,134.883,6EAsLKCDMQV3BRRb9OdaMJ,432987,3
0.485,0.513,0,-8.912,1,0.0238,0.616,0.00805,0.121,0.192,93.997,4q9w3UGW3utmeUruBLUoZZ,206465,4
0.445,0.765,4,-4.186,1,0.0317,0.454,0.184,0.186,0.332,126.018,7BsPyswBtiM1PbPnUnuNzE,345520,3
0.251,0.467,11,-7.88,0,0.0348,0.00485,0.00021,0.0815,0.0685,113.112,0jQxDAN0CBuIdAqbR4OnzV,323933,3
0.352,0.674,9,-9.018,1,0.031,0.000124,0.12,0.18,0.145,102.489,4aOAzvRdOsZSwZIgwcdeL0,299560,4
0.275,0.961,5,-7.364,0,0.0903,1.41e-05,0.886,0.0852,0.269,113.427,20qB4AjdmjknIs57NTUX49,241093,4
0.512,0.789,2,-3.681,0,0.0375,0.158,0,0.156,0.371,144.796,1WsjkRXQ3JsEVFUfO4wwoz,248128,4
0.555,0.873,0,-5.087,1,0.0332,0.031,0.885,0.0961,0.345,133.018,4qk9PaFeiMTxCA67UyCIQb,373858,4
0.423,0.838,2,-4.983,1,0.0445,0.0487,0,0.0473,0.283,154.096,67pUK8PVn6EmpGqXyYilx4,330513,3
0.431,0.845,11,-5.699,1,0.0492,0.136,0.684,0.238,0.322,159.853,5VfEPFhc8XgfNdgatQoP1B,478000,1
0.193,0.338,6,-9.541,1,0.0281,0.389,0.0183,0.292,0.0396,77.716,1uaa4VNmoJ9Y1Uj141dYEU,349067,4
0.229,0.811,6,-4.718,0,0.0336,0.364,0.869,0.105,0.357,160.062,3nGyTdjyMC0xT2TA7Q4Ru4,457200,5
0.646,0.674,7,-7.461,1,0.0458,0.874,0.0168,0.34,0.601,110.96,3B7a3OW9h51WJKYQXD5IAo,215587,4
0.093,0.166,9,-19.55,0,0.0375,0.521,0.969,0.0941,0.0358,83.568,2RSdjgqPWJTHRTooyhDhnk,232104,5
0.323,0.825,10,-6.692,1,0.0457,0.00198,0.0824,0.337,0.358,143.586,7MtlureL5VXmDnyoUeBxsd,298413,4
0.294,0.959,2,-2.794,0,0.0627,0.000437,5.32e-05,0.0858,0.481,155.541,01PW4iTCvh9cUHPF0eV7H3,341693,4
0.479,0.888,0,-5.989,0,0.0628,0.00114,1.17e-05,0.458,0.398,148.037,1DRBvB3QNHnpkIdcMgMc2J,330893,4
0.287,0.705,11,-10.91,0,0.0328,0.0696,0.59,0.0882,0.417,169.994,67VGpK85BQ8xTYNAfN9cZc,334987,4
0.504,0.913,8,-7.281,1,0.0578,0.000618,0.0676,0.451,0.216,96.018,7m7LZGSKYcpB7nvG6FbVbM,328973,4
0.42,0.972,6,-5.024,1,0.0833,5.94e-06,5.75e-05,0.245,0.317,101.499,6n5gMd9Zw929CQp9HBVZBd,217440,4
0.504,0.474,1,-8.274,0,0.0281,0.0155,0.872,0.145,0.0395,109.998,36b4GPfSgTK4dcXQ4fA5TP,297568,4
